source_name,source_lat,source_lng,dest_name,dest_lat,dest_lng,pickup_time,hour,day_of_week,month,ride_type,num_riders,distance_km,duration_minutes,is_weekend,is_rush_hour
IMS Ghaziabad,28.67,77.4382,Connaught Place,28.6315,77.2167,2023-06-09 16:42:00,16,4,6,shared,3,22.03,75.2,0,0
IIT Delhi,28.5456,77.1924,Greater Kailash,28.5562,77.2249,2023-06-19 05:13:00,5,0,6,shared,3,3.39,18.9,0,0
DTU,28.7495,77.1184,Shiv Nadar University,28.5266,77.5757,2023-10-01 10:31:00,10,6,10,private,1,51.05,138.0,1,0
Select Citywalk,28.5289,77.2195,Jaypee Institute,28.5244,77.3656,2023-03-01 01:38:00,1,2,3,private,1,14.28,33.0,0,0
DTU,28.7495,77.1184,JNU,28.5399,77.1674,2023-05-31 16:58:00,16,2,5,private,1,23.79,66.7,0,0
India Gate,28.6129,77.2295,KIET Group of Institutions,28.753,77.4973,2023-12-31 21:04:00,21,6,12,private,1,30.42,60.6,1,0
IIT Delhi,28.5456,77.1924,Galgotias University,28.4507,77.4908,2023-05-05 23:46:00,23,4,5,private,1,31.01,58.5,0,0
Connaught Place,28.6315,77.2167,Cyber Hub,28.4946,77.0893,2023-01-09 09:18:00,9,0,1,private,1,19.66,73.4,0,1
Delhi University,28.6891,77.2087,Akshardham Temple,28.6127,77.2773,2023-11-04 07:06:00,7,5,11,shared,3,10.82,31.2,1,0
ITS Engineering College,28.6763,77.3823,DLF Mall of India,28.5671,77.3263,2023-05-08 20:00:00,20,0,5,private,1,13.32,32.9,0,0
India Gate,28.6129,77.2295,Connaught Place,28.6315,77.2167,2023-12-26 19:09:00,19,1,12,private,1,2.42,17.5,0,1
Jaypee Institute,28.5244,77.3656,Lotus Temple,28.5535,77.2588,2023-07-29 14:28:00,14,5,7,private,1,10.92,28.4,1,0
Galgotias University,28.4507,77.4908,India Gate,28.6129,77.2295,2023-07-06 20:18:00,20,3,7,private,1,31.26,80.4,0,0
Red Fort,28.6562,77.241,ABES Engineering College,28.6324,77.449,2023-03-31 23:36:00,23,4,3,private,1,20.47,42.0,0,0
NSIT,28.6091,77.0378,Lotus Temple,28.5535,77.2588,2023-03-21 16:46:00,16,1,3,private,1,22.45,57.9,0,0
IMS Ghaziabad,28.67,77.4382,India Gate,28.6129,77.2295,2023-02-12 12:26:00,12,6,2,private,1,21.33,59.8,1,0
Delhi University,28.6891,77.2087,Greater Kailash,28.5562,77.2249,2023-01-30 21:33:00,21,0,1,shared,2,14.86,49.5,0,0
IMS Ghaziabad,28.67,77.4382,ABES Engineering College,28.6324,77.449,2023-11-24 13:42:00,13,4,11,private,1,4.31,20.6,0,0
Hindu College of Engineering,28.6764,77.5043,ABES Engineering College,28.6324,77.449,2023-06-10 23:05:00,23,5,6,shared,1,7.28,27.2,1,0
JNU,28.5399,77.1674,Red Fort,28.6562,77.241,2023-06-29 21:55:00,21,3,6,private,1,14.79,37.0,0,0
Galgotias University,28.4507,77.4908,Red Fort,28.6562,77.241,2023-03-09 10:53:00,10,3,3,private,1,33.43,85.1,0,0
Hindu College of Engineering,28.6764,77.5043,DLF Mall of India,28.5671,77.3263,2023-07-09 12:26:00,12,6,7,shared,2,21.2,75.0,1,0
Connaught Place,28.6315,77.2167,India Gate,28.6129,77.2295,2023-05-24 09:38:00,9,2,5,private,1,2.42,16.8,0,1
Hindu College of Engineering,28.6764,77.5043,Amity University,28.5445,77.3325,2023-02-09 19:24:00,19,3,2,private,1,22.28,85.2,0,1
Akshardham Temple,28.6127,77.2773,DTU,28.7495,77.1184,2023-10-28 09:17:00,9,5,10,shared,4,21.72,58.5,1,1
Connaught Place,28.6315,77.2167,Lotus Temple,28.5535,77.2588,2023-01-02 20:26:00,20,0,1,shared,2,9.6,39.6,0,0
JNU,28.5399,77.1674,Shiv Nadar University,28.5266,77.5757,2023-04-02 07:38:00,7,6,4,private,1,39.91,84.9,1,0
Delhi University,28.6891,77.2087,India Gate,28.6129,77.2295,2023-04-15 06:24:00,6,5,4,shared,1,8.71,31.6,1,0
ITS Engineering College,28.6763,77.3823,Delhi University,28.6891,77.2087,2023-10-05 14:21:00,14,3,10,shared,3,16.99,57.1,0,0
IMS Ghaziabad,28.67,77.4382,Delhi University,28.6891,77.2087,2023-05-16 01:27:00,1,1,5,private,1,22.49,46.1,0,0
Delhi University,28.6891,77.2087,Red Fort,28.6562,77.241,2023-07-11 15:08:00,15,1,7,shared,4,4.83,28.0,0,0
Jaypee Institute,28.5244,77.3656,IIT Delhi,28.5456,77.1924,2023-05-11 02:36:00,2,3,5,private,1,17.08,38.2,0,0
ITS Engineering College,28.6763,77.3823,KIET Group of Institutions,28.753,77.4973,2023-08-12 10:36:00,10,5,8,shared,4,14.09,54.9,1,0
Qutub Minar,28.5245,77.1855,Akshardham Temple,28.6127,77.2773,2023-09-03 22:58:00,22,6,9,private,1,13.29,27.6,1,0
DTU,28.7495,77.1184,Delhi University,28.6891,77.2087,2023-04-23 00:11:00,0,6,4,shared,1,11.07,32.0,1,0
India Gate,28.6129,77.2295,Greater Kailash,28.5562,77.2249,2023-01-29 16:46:00,16,6,1,shared,2,6.32,33.4,1,0
ITS Engineering College,28.6763,77.3823,ABES Engineering College,28.6324,77.449,2023-01-18 07:04:00,7,2,1,private,1,8.14,24.2,0,0
JNU,28.5399,77.1674,India Gate,28.6129,77.2295,2023-01-31 23:29:00,23,1,1,shared,2,10.13,29.1,0,0
Lotus Temple,28.5535,77.2588,JNU,28.5399,77.1674,2023-04-12 19:11:00,19,2,4,shared,4,9.05,58.8,0,1
KIET Group of Institutions,28.753,77.4973,Select Citywalk,28.5289,77.2195,2023-10-19 05:58:00,5,3,10,private,1,36.82,72.6,0,0
ITS Engineering College,28.6763,77.3823,Jaypee Institute,28.5244,77.3656,2023-06-23 03:18:00,3,4,6,shared,4,16.97,43.9,0,0
IIT Delhi,28.5456,77.1924,ABES Engineering College,28.6324,77.449,2023-01-31 11:46:00,11,1,1,private,1,26.85,77.6,0,0
Amity University,28.5445,77.3325,Qutub Minar,28.5245,77.1855,2023-04-22 04:41:00,4,5,4,private,1,14.53,30.0,1,0
NSIT,28.6091,77.0378,Greater Kailash,28.5562,77.2249,2023-05-11 02:16:00,2,3,5,shared,3,19.19,50.5,0,0
ITS Engineering College,28.6763,77.3823,DTU,28.7495,77.1184,2023-11-16 15:13:00,15,3,11,private,1,26.99,69.7,0,0
Select Citywalk,28.5289,77.2195,Red Fort,28.6562,77.241,2023-07-17 21:33:00,21,0,7,shared,3,14.31,45.9,0,0
Delhi University,28.6891,77.2087,NSIT,28.6091,77.0378,2023-11-20 01:21:00,1,0,11,shared,1,18.9,52.5,0,0
Jaypee Institute,28.5244,77.3656,Akshardham Temple,28.6127,77.2773,2023-05-21 13:49:00,13,6,5,shared,1,13.07,43.4,1,0
Red Fort,28.6562,77.241,Akshardham Temple,28.6127,77.2773,2023-12-13 14:01:00,14,2,12,private,1,6.0,23.0,0,0
Greater Kailash,28.5562,77.2249,Jaypee Institute,28.5244,77.3656,2023-10-28 01:52:00,1,5,10,shared,3,14.19,40.8,1,0
Cyber Hub,28.4946,77.0893,IIT Delhi,28.5456,77.1924,2023-01-19 04:16:00,4,3,1,private,1,11.56,22.8,0,0
Noida International University,28.3965,77.5007,IMS Ghaziabad,28.67,77.4382,2023-12-01 15:28:00,15,4,12,shared,4,31.02,104.2,0,0
DLF Mall of India,28.5671,77.3263,Lotus Temple,28.5535,77.2588,2023-08-23 06:28:00,6,2,8,shared,4,6.76,25.8,0,0
Greater Kailash,28.5562,77.2249,Akshardham Temple,28.6127,77.2773,2023-12-20 04:47:00,4,2,12,private,1,8.1,20.9,0,0
Akshardham Temple,28.6127,77.2773,Lotus Temple,28.5535,77.2588,2023-03-08 15:52:00,15,2,3,shared,3,6.83,34.4,0,0
Noida International University,28.3965,77.5007,Jaypee Institute,28.5244,77.3656,2023-07-27 21:07:00,21,3,7,private,1,19.41,50.6,0,0
Red Fort,28.6562,77.241,IIT Delhi,28.5456,77.1924,2023-05-20 05:03:00,5,5,5,private,1,13.18,29.0,1,0
Greater Kailash,28.5562,77.2249,Select Citywalk,28.5289,77.2195,2023-12-03 23:08:00,23,6,12,shared,2,3.08,15.5,1,0
Connaught Place,28.6315,77.2167,Hindu College of Engineering,28.6764,77.5043,2023-09-28 19:18:00,19,3,9,private,1,28.5,110.2,0,1
Greater Kailash,28.5562,77.2249,Red Fort,28.6562,77.241,2023-07-13 10:41:00,10,3,7,shared,1,11.23,38.1,0,0
ITS Engineering College,28.6763,77.3823,Noida International University,28.3965,77.5007,2023-07-24 17:01:00,17,0,7,private,1,33.19,133.3,0,1
Connaught Place,28.6315,77.2167,Hindu College of Engineering,28.6764,77.5043,2023-12-20 21:23:00,21,2,12,shared,2,28.5,69.3,0,0
IMS Ghaziabad,28.67,77.4382,Red Fort,28.6562,77.241,2023-09-16 00:12:00,0,5,9,shared,1,19.3,48.4,1,0
Connaught Place,28.6315,77.2167,Delhi University,28.6891,77.2087,2023-06-23 19:21:00,19,4,6,private,1,6.45,35.5,0,1
Cyber Hub,28.4946,77.0893,JNU,28.5399,77.1674,2023-12-18 08:49:00,8,0,12,private,1,9.14,48.1,0,1
JNU,28.5399,77.1674,ABES Engineering College,28.6324,77.449,2023-07-31 23:45:00,23,0,7,private,1,29.36,59.0,0,0
JNU,28.5399,77.1674,Greater Kailash,28.5562,77.2249,2023-09-09 23:39:00,23,5,9,shared,3,5.9,22.5,1,0
KIET Group of Institutions,28.753,77.4973,Lotus Temple,28.5535,77.2588,2023-07-12 01:39:00,1,2,7,private,1,32.15,63.3,0,0
JNU,28.5399,77.1674,India Gate,28.6129,77.2295,2023-02-21 06:53:00,6,1,2,shared,4,10.13,28.1,0,0
Lotus Temple,28.5535,77.2588,Hindu College of Engineering,28.6764,77.5043,2023-10-13 13:39:00,13,4,10,private,1,27.59,71.1,0,0
IMS Ghaziabad,28.67,77.4382,India Gate,28.6129,77.2295,2023-03-08 02:16:00,2,2,3,private,1,21.33,42.0,0,0
NSIT,28.6091,77.0378,DTU,28.7495,77.1184,2023-10-29 15:54:00,15,6,10,shared,1,17.48,60.3,1,0
Jaypee Institute,28.5244,77.3656,Amity University,28.5445,77.3325,2023-07-20 15:41:00,15,3,7,private,1,3.93,18.9,0,0
Qutub Minar,28.5245,77.1855,Shiv Nadar University,28.5266,77.5757,2023-06-29 09:16:00,9,3,6,shared,4,38.12,185.4,0,1
DLF Mall of India,28.5671,77.3263,Lotus Temple,28.5535,77.2588,2023-05-18 12:59:00,12,3,5,shared,3,6.76,34.1,0,0
JNU,28.5399,77.1674,Jaypee Institute,28.5244,77.3656,2023-06-08 23:31:00,23,3,6,shared,3,19.44,51.2,0,0
Amity University,28.5445,77.3325,KIET Group of Institutions,28.753,77.4973,2023-04-16 23:21:00,23,6,4,private,1,28.22,55.5,1,0
DLF Mall of India,28.5671,77.3263,Cyber Hub,28.4946,77.0893,2023-09-17 17:30:00,17,6,9,shared,3,24.52,88.6,1,1
Galgotias University,28.4507,77.4908,ABES Engineering College,28.6324,77.449,2023-07-04 19:30:00,19,1,7,shared,1,20.61,114.4,0,1
India Gate,28.6129,77.2295,Qutub Minar,28.5245,77.1855,2023-07-24 02:18:00,2,0,7,private,1,10.73,26.4,0,0
IMS Ghaziabad,28.67,77.4382,DTU,28.7495,77.1184,2023-10-28 02:04:00,2,5,10,shared,1,32.42,89.0,1,0
Cyber Hub,28.4946,77.0893,Greater Kailash,28.5562,77.2249,2023-10-25 16:22:00,16,2,10,shared,4,14.91,54.4,0,0
DLF Mall of India,28.5671,77.3263,Greater Kailash,28.5562,77.2249,2023-09-14 10:36:00,10,3,9,shared,1,9.98,48.5,0,0
JNU,28.5399,77.1674,NSIT,28.6091,77.0378,2023-07-29 19:47:00,19,5,7,shared,2,14.81,52.7,1,1
Cyber Hub,28.4946,77.0893,KIET Group of Institutions,28.753,77.4973,2023-11-10 17:08:00,17,4,11,shared,1,49.11,233.2,0,1
NSIT,28.6091,77.0378,Red Fort,28.6562,77.241,2023-11-05 00:30:00,0,6,11,private,1,20.51,39.6,1,0
Connaught Place,28.6315,77.2167,Amity University,28.5445,77.3325,2023-02-07 06:27:00,6,1,2,private,1,14.88,34.3,0,0
Lotus Temple,28.5535,77.2588,Greater Kailash,28.5562,77.2249,2023-10-14 02:06:00,2,5,10,shared,3,3.32,17.2,1,0
IIT Delhi,28.5456,77.1924,Amity University,28.5445,77.3325,2023-05-16 16:15:00,16,1,5,shared,2,13.69,53.9,0,0
Qutub Minar,28.5245,77.1855,Jaypee Institute,28.5244,77.3656,2023-06-16 14:22:00,14,4,6,shared,2,17.6,61.2,0,0
Qutub Minar,28.5245,77.1855,ABES Engineering College,28.6324,77.449,2023-01-12 02:36:00,2,3,1,private,1,28.39,58.5,0,0
Connaught Place,28.6315,77.2167,Noida International University,28.3965,77.5007,2023-05-03 23:36:00,23,2,5,shared,4,38.12,101.1,0,0
ITS Engineering College,28.6763,77.3823,Lotus Temple,28.5535,77.2588,2023-03-09 21:30:00,21,3,3,private,1,18.21,44.2,0,0
Noida International University,28.3965,77.5007,Hindu College of Engineering,28.6764,77.5043,2023-11-16 03:19:00,3,3,11,shared,1,31.13,80.6,0,0
Hindu College of Engineering,28.6764,77.5043,Akshardham Temple,28.6127,77.2773,2023-05-28 06:14:00,6,6,5,private,1,23.26,49.0,1,0
JNU,28.5399,77.1674,Greater Kailash,28.5562,77.2249,2023-12-26 16:19:00,16,1,12,private,1,5.9,28.7,0,0
India Gate,28.6129,77.2295,Shiv Nadar University,28.5266,77.5757,2023-08-16 12:36:00,12,2,8,shared,1,35.14,128.0,0,0
Jaypee Institute,28.5244,77.3656,Connaught Place,28.6315,77.2167,2023-05-31 00:07:00,0,2,5,shared,3,18.79,51.0,0,0
